Participant,DEMOGRAPHIC_VARIABLES,Age,Gender,EXPERIMENTAL_CONDITIONS_METHOD_FACTORS,Stimulus_Identity,Color_Matching,Evaluative_Measure_Order,IAT_Block_Order,IMPLICIT_MEASURES,IAT_Score,EXPLICIT_MEASURES,Stimulus_1a_Positive_Negative_Positive_Negative_response,Stimulus_1a_Good_Bad_Good_Bad_response,Stimulus_1a_Pleasant_Unpleasant_Pleasant_Unpleasant_response,Stimulus_1a_Like_Dislike_Like_Dislike_response,Stimulus_2a_Positive_Negative_Positive_Negative_response,Stimulus_2a_Good_Bad_Good_Bad_response,Stimulus_2a_Pleasant_Unpleasant_Pleasant_Unpleasant_response,Stimulus_2a_Like_Dislike_Like_Dislike_response,CS1_Self_Report_Total,CS2_Self_Report_Total,EC_Effect_CS1_CS2_Difference_Score,Intentions_response,Intention_Ratings_Recoded,EXPLORATORY_QUESTIONS,US_Contingency_Awareness_CS1,US_Contingency_Awareness_CS1_recoded,US_Contingency_Awareness_CS2,US_Contingency_Awareness_CS2_recoded,CS_Color_CS1,CS_Color_CS2,CS_Color_Pos_US,CS_Color_Neg_US,CS_Color_CS1_recoded,CS_Color_CS2_recoded,CS_Color_Pos_US_recoded,CS_Color_Neg_US_recoded,CS_Color_Total_Score_recoded,Hypothesis_Awareness,Hypothesis_Awareness_recoded,Influence_Awareness_response,Influence_Awareness_recoded,Demand_Self_Reports,Demand_IAT,Reactance_Self_Reports,Reactance_IAT,Did_the_participant_take_any_notes_response,Color_Training_Contingency_Memory_Blue,Color_Training_Contingency_Memory_Blue_recoded,Color_Training_Contingency_Memory_Yellow,Color_Training_Contingency_Memory_Yellow_recoded,Color_Training_Contingency_Memory_Green,Color_Training_Contingency_Memory_Green_recoded,Color_Training_Contingency_Memory_Purple,Color_Training_Contingency_Memory_Purple_recoded,Total_Contingency_Awareness_Score
261,NA,25,Male                                                                                                ,NA,Struan_Good_Morag_Bad                                                                               ,CS2_Positive_CS1_Negative                                                                           ,Self_Reports_First                                                                                  ,        ,NA,-0.397,NA,-3,-2,-3,-4,3,4,4,2,-3,3.25,-6.25,I would try Struan                                                                                  ,NA,NA,One word always have a positive meaning and the other a negative meaning                            ,1,One word always have a positive meaning and the other a negative meaning                            ,1,Yellow                                                                                              ,Purple                                                                                              ,Green                                                                                               ,Blue                                                                                                ,0,0,0,0,0,Yes I did notice it                                                                                 ,1,Yes it did influence me                                                                             ,1,Yes                                                                                                 ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,Yellow                                                                                              ,1,Blue                                                                                                ,1,Purple                                                                                              ,1,Green                                                                                               ,1,0
265,NA,19,Male                                                                                                ,NA,Morag_Good_Struan_Bad                                                                               ,CS1_Positive_CS2_Negative                                                                           ,Self_Reports_First                                                                                  ,        ,NA,0.597,NA,2,-2,2,2,-2,-2,2,-2,1,-1,2,I would try both Morag and Struan                                                                   ,NA,NA,Those two other words always have a positive meaning                                                ,0,Those two other words always have a negative meaning                                                ,0,I don’t remember                                                                                  ,Blue                                                                                                ,Green                                                                                               ,Yellow                                                                                              ,0,1,0,1,2,"Yes, after the first set                                                                            ",1,Not largely                                                                                         ,0,Yes                                                                                                 ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,Yellow                                                                                              ,1,Blue                                                                                                ,1,Purple                                                                                              ,1,Green                                                                                               ,1,2
266,NA,39,Female                                                                                              ,NA,Morag_Good_Struan_Bad                                                                               ,CS1_Positive_CS2_Negative                                                                           ,Self_Reports_First                                                                                  ,        ,NA,0.328,NA,5,5,5,5,-5,-5,-5,-5,5,-5,10,I would try Morag                                                                                   ,NA,NA,One word always have a positive meaning and the other a negative meaning                            ,1,One word always have a positive meaning and the other a negative meaning                            ,1,Green                                                                                               ,Blue                                                                                                ,Purple                                                                                              ,Yellow                                                                                              ,1,1,1,1,4,yes                                                                                                 ,1,yes                                                                                                 ,1,No                                                                                                  ,No                                                                                                  ,Yes                                                                                                 ,No                                                                                                  ,No                                                                                                  ,Yellow                                                                                              ,1,Blue                                                                                                ,1,Purple                                                                                              ,1,Green                                                                                               ,1,4
269,NA,21,Male                                                                                                ,NA,Struan_Good_Morag_Bad                                                                               ,CS2_Positive_CS1_Negative                                                                           ,Self_Reports_First                                                                                  ,        ,NA,0.594,NA,-4,-4,-4,-5,-5,-4,-4,-4,-4.25,-4.25,0,I would try neither Brand                                                                           ,NA,NA,Those two other words always have a negative meaning                                                ,0,Those two other words always have a negative meaning                                                ,0,Blue                                                                                                ,Yellow                                                                                              ,Purple                                                                                              ,Blue                                                                                                ,1,0,1,0,2,"Yes, the words in purple or green were always postivie, whereas blue and yellow negative.           ",1,I associated blue and yellow with negative.                                                         ,1,Yes                                                                                                 ,Yes                                                                                                 ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,Yellow                                                                                              ,1,Blue                                                                                                ,1,Purple                                                                                              ,1,Green                                                                                               ,1,2
280,NA,27,Male                                                                                                ,NA,Struan_Good_Morag_Bad                                                                               ,CS2_Positive_CS1_Negative                                                                           ,IAT_First                                                                                           ,        ,NA,-0.361,NA,-2,3,-1,-3,0,-3,-3,-4,-0.75,-2.5,1.75,I would try Morag                                                                                   ,NA,NA,One word always have a positive meaning and the other a negative meaning                            ,1,One word always have a positive meaning and the other a negative meaning                            ,1,Blue                                                                                                ,Purple                                                                                              ,I don’t remember                                                                                  ,I don’t remember                                                                                  ,1,0,0,0,1,Yes                                                                                                 ,1,Yes                                                                                                 ,1,Yes                                                                                                 ,I don’t know                                                                                      ,I don’t know                                                                                      ,No                                                                                                  ,No                                                                                                  ,Yellow                                                                                              ,1,Blue                                                                                                ,1,Purple                                                                                              ,1,Green                                                                                               ,1,1
283,NA,35,Male                                                                                                ,NA,Morag_Good_Struan_Bad                                                                               ,CS1_Positive_CS2_Negative                                                                           ,IAT_First                                                                                           ,        ,NA,0.674,NA,3,3,3,3,-2,-2,-2,-2,3,-2,5,I would try Morag                                                                                   ,NA,NA,One word always have a positive meaning and the other a negative meaning                            ,1,One word always have a positive meaning and the other a negative meaning                            ,1,Blue                                                                                                ,Green                                                                                               ,Purple                                                                                              ,Yellow                                                                                              ,0,0,1,1,2,Yes                                                                                                 ,1,No                                                                                                  ,0,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,Purple                                                                                              ,0,Green                                                                                               ,0,Yellow                                                                                              ,0,Green                                                                                               ,1,2
284,NA,36,Male                                                                                                ,NA,Morag_Good_Struan_Bad                                                                               ,CS1_Positive_CS2_Negative                                                                           ,IAT_First                                                                                           ,        ,NA,-0.537,NA,0,0,0,0,0,0,0,0,0,0,0,I would try both Morag and Struan                                                                   ,NA,NA,Those two other words always have a negative meaning                                                ,0,One word always have a positive meaning and the other a negative meaning                            ,1,Purple                                                                                              ,Blue                                                                                                ,Green                                                                                               ,I don’t remember                                                                                  ,0,1,0,0,1,yes                                                                                                 ,1,no                                                                                                  ,0,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,Yellow                                                                                              ,1,Purple                                                                                              ,0,Purple                                                                                              ,1,Green                                                                                               ,1,1
291,NA,36,Female                                                                                              ,NA,Morag_Good_Struan_Bad                                                                               ,CS1_Positive_CS2_Negative                                                                           ,IAT_First                                                                                           ,        ,NA,0.401,NA,2,2,2,2,2,2,2,0,2,1.5,0.5,I would try both Morag and Struan                                                                   ,NA,NA,One word always have a positive meaning and the other a negative meaning                            ,1,One word always have a positive meaning and the other a negative meaning                            ,1,Green                                                                                               ,Blue                                                                                                ,Purple                                                                                              ,Yellow                                                                                              ,1,1,1,1,4,Yes                                                                                                 ,1,Yes - the negative words were in Yellow (so always related to the blue Struan) and the positive word,1,No                                                                                                  ,No                                                                                                  ,Yes                                                                                                 ,No                                                                                                  ,No                                                                                                  ,Yellow                                                                                              ,1,Blue                                                                                                ,1,Purple                                                                                              ,1,Green                                                                                               ,1,4
292,NA,24,Female                                                                                              ,NA,Morag_Good_Struan_Bad                                                                               ,CS1_Positive_CS2_Negative                                                                           ,IAT_First                                                                                           ,        ,NA,-0.45,NA,-2,-2,-2,-2,2,2,2,2,-2,2,-4,I would try Struan                                                                                  ,NA,NA,Those two other words always have a negative meaning                                                ,0,Those two other words always have a positive meaning                                                ,0,I don’t remember                                                                                  ,I don’t remember                                                                                  ,I don’t remember                                                                                  ,I don’t remember                                                                                  ,0,0,0,0,0,Yes                                                                                                 ,1,I believe so                                                                                        ,1,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,Yellow                                                                                              ,1,Blue                                                                                                ,1,Purple                                                                                              ,1,Green                                                                                               ,1,0
294,NA,35,Female                                                                                              ,NA,Struan_Good_Morag_Bad                                                                               ,CS2_Positive_CS1_Negative                                                                           ,Self_Reports_First                                                                                  ,        ,NA,-0.057,NA,-2,-2,-2,-2,-1,-1,-1,-1,-2,-1,-1,I would try Struan                                                                                  ,NA,NA,One word always have a positive meaning and the other a negative meaning                            ,1,One word always have a positive meaning and the other a negative meaning                            ,1,Blue                                                                                                ,Green                                                                                               ,Purple                                                                                              ,Yellow                                                                                              ,1,1,1,1,4,"nice words were purple, unpleasant words were yellow                                                ",1,yes                                                                                                 ,1,No                                                                                                  ,Yes                                                                                                 ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,Yellow                                                                                              ,1,Blue                                                                                                ,1,Purple                                                                                              ,1,Green                                                                                               ,1,4
296,NA,30,Male                                                                                                ,NA,Struan_Good_Morag_Bad                                                                               ,CS2_Positive_CS1_Negative                                                                           ,IAT_First                                                                                           ,        ,NA,-0.422,NA,0,0,0,0,0,0,0,0,0,0,0,I would try Morag                                                                                   ,NA,NA,One word always have a positive meaning and the other a negative meaning                            ,1,One word always have a positive meaning and the other a negative meaning                            ,1,Blue                                                                                                ,Green                                                                                               ,Yellow                                                                                              ,Purple                                                                                              ,1,1,0,0,2,No I didn't - I was focusing on the patterns of the words with morag and struan and not the left col,0,No                                                                                                  ,0,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,Yellow                                                                                              ,1,Blue                                                                                                ,1,Purple                                                                                              ,1,Green                                                                                               ,1,2
302,NA,34,Male                                                                                                ,NA,Struan_Good_Morag_Bad                                                                               ,CS2_Positive_CS1_Negative                                                                           ,Self_Reports_First                                                                                  ,        ,NA,-0.388,NA,1,2,1,1,2,2,2,1,1.25,1.75,-0.5,I would try Struan                                                                                  ,NA,NA,One word always have a positive meaning and the other a negative meaning                            ,1,One word always have a positive meaning and the other a negative meaning                            ,1,Blue                                                                                                ,Green                                                                                               ,Purple                                                                                              ,Yellow                                                                                              ,1,1,1,1,4,yes                                                                                                 ,1,unsure                                                                                              ,0,I don’t know                                                                                      ,Yes                                                                                                 ,I don’t know                                                                                      ,No                                                                                                  ,No                                                                                                  ,Yellow                                                                                              ,1,Blue                                                                                                ,1,Purple                                                                                              ,1,Green                                                                                               ,1,4
303,NA,33,Female                                                                                              ,NA,Struan_Good_Morag_Bad                                                                               ,CS2_Positive_CS1_Negative                                                                           ,IAT_First                                                                                           ,        ,NA,0.663,NA,2,1,0,0,0,0,-1,-1,0.75,-0.5,1.25,I don't know                                                                                        ,NA,NA,One word always have a positive meaning and the other a negative meaning                            ,1,One word always have a positive meaning and the other a negative meaning                            ,1,Yellow                                                                                              ,I don’t remember                                                                                  ,I don’t remember                                                                                  ,I don’t remember                                                                                  ,0,0,0,0,0,yes                                                                                                 ,1,yeah                                                                                                ,1,I don’t know                                                                                      ,Yes                                                                                                 ,I don’t know                                                                                      ,No                                                                                                  ,No                                                                                                  ,Yellow                                                                                              ,1,Blue                                                                                                ,1,Purple                                                                                              ,1,Green                                                                                               ,1,0
308,NA,33,Male                                                                                                ,NA,Morag_Good_Struan_Bad                                                                               ,CS1_Positive_CS2_Negative                                                                           ,IAT_First                                                                                           ,        ,NA,0.056,NA,0,0,0,0,0,0,0,0,0,0,0,I would try both Morag and Struan                                                                   ,NA,NA,One word always have a positive meaning and the other a negative meaning                            ,1,One word always have a positive meaning and the other a negative meaning                            ,1,Green                                                                                               ,Blue                                                                                                ,Purple                                                                                              ,Yellow                                                                                              ,1,1,1,1,4,Yes                                                                                                 ,1,No                                                                                                  ,0,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,Yellow                                                                                              ,1,Blue                                                                                                ,1,Purple                                                                                              ,1,Green                                                                                               ,1,4
311,NA,33,Female                                                                                              ,NA,Struan_Good_Morag_Bad                                                                               ,CS2_Positive_CS1_Negative                                                                           ,IAT_First                                                                                           ,        ,NA,-0.127,NA,0,0,0,0,0,0,0,0,0,0,0,I would try both Morag and Struan                                                                   ,NA,NA,Those two other words always have a negative meaning                                                ,0,One word always have a positive meaning and the other a negative meaning                            ,1,Blue                                                                                                ,Green                                                                                               ,Purple                                                                                              ,Yellow                                                                                              ,1,1,1,1,4,Yes                                                                                                 ,1,No                                                                                                  ,0,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,Yellow                                                                                              ,1,Blue                                                                                                ,1,Purple                                                                                              ,1,Green                                                                                               ,1,4
313,NA,18,Male                                                                                                ,NA,Morag_Good_Struan_Bad                                                                               ,CS1_Positive_CS2_Negative                                                                           ,Self_Reports_First                                                                                  ,        ,NA,0.886,NA,5,5,5,5,-5,-5,-5,-5,5,-5,10,I would try neither Brand                                                                           ,NA,NA,One word always have a positive meaning and the other a negative meaning                            ,1,One word always have a positive meaning and the other a negative meaning                            ,1,I don’t remember                                                                                  ,I don’t remember                                                                                  ,Yellow                                                                                              ,Green                                                                                               ,0,0,0,0,0,Yes                                                                                                 ,1,No                                                                                                  ,0,Yes                                                                                                 ,I don’t know                                                                                      ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,Yellow                                                                                              ,1,Blue                                                                                                ,1,Purple                                                                                              ,1,Green                                                                                               ,1,0
318,NA,19,Female                                                                                              ,NA,Struan_Good_Morag_Bad                                                                               ,CS2_Positive_CS1_Negative                                                                           ,Self_Reports_First                                                                                  ,        ,NA,-0.272,NA,-4,-3,-3,-3,3,3,4,4,-3.25,3.5,-6.75,I would try neither Brand                                                                           ,NA,NA,One word always have a positive meaning and the other a negative meaning                            ,1,One word always have a positive meaning and the other a negative meaning                            ,1,Blue                                                                                                ,Green                                                                                               ,Purple                                                                                              ,Yellow                                                                                              ,1,1,1,1,4,Yes                                                                                                 ,1,"Yes, Morag was related to negative words, and Struan to positive                                    ",1,Yes                                                                                                 ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,Yellow                                                                                              ,1,Blue                                                                                                ,1,Purple                                                                                              ,1,Green                                                                                               ,1,4
336,NA,32,Female                                                                                              ,NA,Struan_Good_Morag_Bad                                                                               ,CS2_Positive_CS1_Negative                                                                           ,IAT_First                                                                                           ,        ,NA,-0.454,NA,0,0,0,0,0,0,0,0,0,0,0,I would try Morag                                                                                   ,NA,NA,One word always have a positive meaning and the other a negative meaning                            ,1,One word always have a positive meaning and the other a negative meaning                            ,1,Blue                                                                                                ,Green                                                                                               ,Purple                                                                                              ,Yellow                                                                                              ,1,1,1,1,4,No                                                                                                  ,0,No                                                                                                  ,0,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,Yellow                                                                                              ,1,Blue                                                                                                ,1,Purple                                                                                              ,1,Green                                                                                               ,1,4
337,NA,33,Male                                                                                                ,NA,Morag_Good_Struan_Bad                                                                               ,CS1_Positive_CS2_Negative                                                                           ,Self_Reports_First                                                                                  ,        ,NA,-0.06,NA,0,0,0,0,0,0,0,0,0,0,0,I would try both Morag and Struan                                                                   ,NA,NA,One word always have a positive meaning and the other a negative meaning                            ,1,One word always have a positive meaning and the other a negative meaning                            ,1,Green                                                                                               ,Blue                                                                                                ,Purple                                                                                              ,Yellow                                                                                              ,1,1,1,1,4,No                                                                                                  ,0,No                                                                                                  ,0,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,Yellow                                                                                              ,1,Blue                                                                                                ,1,Purple                                                                                              ,1,Green                                                                                               ,1,4
340,NA,35,Female                                                                                              ,NA,Morag_Good_Struan_Bad                                                                               ,CS1_Positive_CS2_Negative                                                                           ,IAT_First                                                                                           ,        ,NA,-0.389,NA,3,3,3,3,-2,-2,-2,-2,3,-2,5,I would try Morag                                                                                   ,NA,NA,One word always have a positive meaning and the other a negative meaning                            ,1,One word always have a positive meaning and the other a negative meaning                            ,1,Green                                                                                               ,Blue                                                                                                ,Purple                                                                                              ,Yellow                                                                                              ,1,1,1,1,4,The yellow word was negitive and the purple was positive                                            ,1,Yes                                                                                                 ,1,I don’t know                                                                                      ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,Yellow                                                                                              ,1,Blue                                                                                                ,1,Purple                                                                                              ,1,Green                                                                                               ,1,4
