Participant,DEMOGRAPHIC_VARIABLES,Age,Gender,EXPERIMENTAL_CONDITIONS_METHOD_FACTORS,Evaluative_Measure_Order,Stimulus_Identity,IMPLICIT_MEASURES,EP_Morag_Score,EP_Struan_Score,Size_Matching,EP_Score,Reversed_EP_Score,EXPLICIT_MEASURES,Intentions_response,Intention_Ratings_Recoded,Stimulus_1a_Positive_Negative_Positive_Negative_response,Stimulus_1a_Good_Bad_Good_Bad_response,Stimulus_1a_Pleasant_Unpleasant_Pleasant_Unpleasant_response,Stimulus_1a_Like_Dislike_Like_Dislike_response,Stimulus_2a_Positive_Negative_Positive_Negative_response,Stimulus_2a_Good_Bad_Good_Bad_response,Stimulus_2a_Pleasant_Unpleasant_Pleasant_Unpleasant_response,Stimulus_2a_Like_Dislike_Like_Dislike_response,CS1_Self_Report_Total,CS2_Self_Report_Total,EC_Effect_CS1_CS2_Difference_Score,EC_Effect_CS1_CS2_Difference_Score_Reversed,EXPLORATORY_QUESTIONS,Contingency_awareness_Size_CS_US_CS1,Contingency_awareness_Size_CS_US_CS2,Contingency_awareness_Size_CS_US_CS1_recoded,Contingency_awareness_Size_CS_US_CS2_recoded,Total_CS_Size_Contingency_Score,US_Contingency_Awareness_CS1,US_Contingency_Awareness_CS2,US_Contingency_Awareness_CS1_recoded,US_Contingency_Awareness_CS2_recoded,Total_US_Contingency_Score,Hypothesis_Awareness,Influence_Awareness_response,Hypothesis_Awareness_recoded,Influence_Awareness_recoded,Demand_Self_Reports,Demand_IAT,Reactance_Self_Reports,Reactance_IAT,Did_the_participant_take_any_notes_response
124,NA,22,male    ,NA,                                                                                                    ,Straun_Good_Morag_Bad                                                                               ,NA,-64.9794117647059,30.57894736842104,CS2_Positive_CS1_Negative                                                                           ,-95.55835913312694,95.55835913312694,NA,I would try neither Brand                                                                           ,NA,0,0,-1,0,-1,-1,-2,-1,-0.25,-1.25,1,-1,NA,I don't remember                                                                                    ,The same size letters as POSITIVE Words                                                             ,0,1,1,One word always have a positive meaning and the other a negative meaning                            ,One word always have a positive meaning and the other a negative meaning                            ,1,1,2,I didn't                                                                                            ,Probably                                                                                            ,0,1,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,                                                                                                    
588,NA,34,female  ,NA,                                                                                                    ,Straun_Good_Morag_Bad                                                                               ,NA,11,15.5,CS2_Positive_CS1_Negative                                                                           ,-4.5,4.5,NA,I would try neither Brand                                                                           ,NA,-2,-2,-2,1,1,1,1,1,-1.25,1,-2.25,2.25,NA,I don't remember                                                                                    ,The same size letters as POSITIVE Words                                                             ,0,1,1,One word always have a positive meaning and the other a negative meaning                            ,One word always have a positive meaning and the other a negative meaning                            ,1,1,2,Yes - I noticed it on the second run through                                                        ,Yes but only a few times I know that it tripped me up because I got in my head about it. It reminded,1,1,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,                                                                                                    
915,NA,20,male    ,NA,                                                                                                    ,Straun_Good_Morag_Bad                                                                               ,NA,50.22894736842102,24.390092879257054,CS2_Positive_CS1_Negative                                                                           ,25.838854489163964,-25.838854489163964,NA,I would try Struan                                                                                  ,NA,-2,-2,-3,-2,2,2,3,3,-2.25,2.5,-4.75,4.75,NA,I don't remember                                                                                    ,The same size letters as POSITIVE Words                                                             ,0,1,1,One word always have a positive meaning and the other a negative meaning                            ,Those two other words always have a negative meaning                                                ,1,0,1,I slightly noticed this.                                                                            ,I believe it swayed my decision.                                                                    ,1,1,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,                                                                                                    
463,NA,30,male    ,NA,                                                                                                    ,Straun_Good_Morag_Bad                                                                               ,NA,-36.15789473684208,-54.967836257309955,CS2_Positive_CS1_Negative                                                                           ,18.809941520467873,-18.809941520467873,NA,I would try Morag                                                                                   ,NA,-3,-3,-3,-2,2,2,2,3,-2.75,2.25,-5,5,NA,I don't remember                                                                                    ,The same size letters as POSITIVE Words                                                             ,0,1,1,One word always have a positive meaning and the other a negative meaning                            ,One word always have a positive meaning and the other a negative meaning                            ,1,1,2,I noticed this more with STRUAN and positive words for some reason. Not sure i remember MORAG and ne,I feel like it may have done. When doing the good and bad word rating I sometimes picked an option b,1,1,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,                                                                                                    
135,NA,31,female  ,NA,                                                                                                    ,Straun_Good_Morag_Bad                                                                               ,NA,-11.547368421052624,-54.83040935672523,CS2_Positive_CS1_Negative                                                                           ,43.2830409356726,-43.2830409356726,NA,I would try neither Brand                                                                           ,NA,0,-1,0,0,3,0,2,1,-0.25,1.5,-1.75,1.75,NA,I don't remember                                                                                    ,The same size letters as POSITIVE Words                                                             ,0,1,1,One word always have a positive meaning and the other a negative meaning                            ,One word always have a positive meaning and the other a negative meaning                            ,1,1,2,I noticed it for struan but did not have time to check it for Morag.                                ,yes                                                                                                 ,1,1,0                                                                                                   ,1                                                                                                   ,0                                                                                                   ,0                                                                                                   ,                                                                                                    
451,NA,32,female  ,NA,                                                                                                    ,Straun_Good_Morag_Bad                                                                               ,NA,56.43653250773991,-36.44999999999993,CS2_Positive_CS1_Negative                                                                           ,92.88653250773984,-92.88653250773984,NA,I would try neither Brand                                                                           ,NA,-2,-2,-2,-2,-1,-1,-1,-1,-2,-1,-1,1,NA,I don't remember                                                                                    ,The same size letters as POSITIVE Words                                                             ,0,1,1,One word always have a positive meaning and the other a negative meaning                            ,I don't remember                                                                                    ,1,0,1,I tried to discern a pattern                                                                        ,"yes, that seems to be the idea                                                                      ",NA,1,0                                                                                                   ,1                                                                                                   ,0                                                                                                   ,0                                                                                                   ,                                                                                                    
528,NA,21,male    ,NA,                                                                                                    ,Straun_Good_Morag_Bad                                                                               ,NA,-135.45526315789476,-79.5,CS2_Positive_CS1_Negative                                                                           ,-55.95526315789476,55.95526315789476,NA,I would try Struan                                                                                  ,NA,-1,-3,-2,-1,0,4,3,3,-1.75,2.5,-4.25,4.25,NA,I don't remember                                                                                    ,The same size letters as POSITIVE Words                                                             ,0,1,1,One word always have a positive meaning and the other a negative meaning                            ,One word always have a positive meaning and the other a negative meaning                            ,1,1,2,I noticed this originally but then it began to be more confusing and difficult to determine as the t,I do not believe so                                                                                 ,1,0,0                                                                                                   ,0                                                                                                   ,1                                                                                                   ,0                                                                                                   ,                                                                                                    
343,NA,33,female  ,NA,                                                                                                    ,Straun_Good_Morag_Bad                                                                               ,NA,-42.016339869280955,-96.5333333333333,CS2_Positive_CS1_Negative                                                                           ,54.51699346405235,-54.51699346405235,NA,I would try Struan                                                                                  ,NA,-1,-1,-3,-1,2,-1,3,2,-1.5,1.5,-3,3,NA,I don't remember                                                                                    ,The same size letters as POSITIVE Words                                                             ,0,1,1,One word always have a positive meaning and the other a negative meaning                            ,One word always have a positive meaning and the other a negative meaning                            ,1,1,2,In some cases                                                                                       ,No                                                                                                  ,1,0,0                                                                                                   ,1                                                                                                   ,0                                                                                                   ,1                                                                                                   ,                                                                                                    
708,NA,19,male    ,NA,                                                                                                    ,Straun_Good_Morag_Bad                                                                               ,NA,-52.30000000000001,-83.74444444444441,CS2_Positive_CS1_Negative                                                                           ,31.4444444444444,-31.4444444444444,NA,I would try Struan                                                                                  ,NA,-1,-2,1,-1,3,1,3,2,-0.75,2.25,-3,3,NA,The same size letters as NEGATIVE words                                                             ,I don't remember                                                                                    ,1,0,1,One word always have a positive meaning and the other a negative meaning                            ,I don't remember                                                                                    ,1,0,1,I did not notice this.                                                                              ,I believe it had some influence on me                                                               ,0,1,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,                                                                                                    
995,NA,35,female  ,NA,                                                                                                    ,Straun_Good_Morag_Bad                                                                               ,NA,5.121052631579005,-48.96052631578948,CS2_Positive_CS1_Negative                                                                           ,54.081578947368484,-54.081578947368484,NA,I would try Morag                                                                                   ,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,The same size letters as NEGATIVE words                                                             ,I don't remember                                                                                    ,1,0,1,One word always have a positive meaning and the other a negative meaning                            ,One word always have a positive meaning and the other a negative meaning                            ,1,1,2,I noticed it with Morag more than Struan. I would even say outlout MORAG VOMITS! or MORAG HAS CANCER,"Not really. The names are so weird as is, that made it difficult to be influenced beyond the oddness",1,0,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,                                                                                                    
771,NA,36,male    ,NA,                                                                                                    ,Straun_Good_Morag_Bad                                                                               ,NA,47.048611111111086,66.85000000000002,CS2_Positive_CS1_Negative                                                                           ,-19.801388888888937,19.801388888888937,NA,I would try neither Brand                                                                           ,NA,-1,-1,-1,-2,-2,1,1,2,-1.25,0.5,-1.75,1.75,NA,The same size letters as NEGATIVE words                                                             ,I don't remember                                                                                    ,1,0,1,One word always have a positive meaning and the other a negative meaning                            ,Those two other words always have a negative meaning                                                ,1,0,1,"no, I was trying to see a pattern but didn't notice one                                             ","yea, I noticed that a little.                                                                       ",0,1,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,                                                                                                    
860,NA,24,male    ,NA,                                                                                                    ,Straun_Good_Morag_Bad                                                                               ,NA,29.076470588235225,-42.8888888888888,CS2_Positive_CS1_Negative                                                                           ,71.96535947712403,-71.96535947712403,NA,I would try Struan                                                                                  ,NA,-1,-1,-1,-1,-1,0,-1,-1,-1,-0.75,-0.25,0.25,NA,The same size letters as NEGATIVE words                                                             ,I don't remember                                                                                    ,1,0,1,One word always have a positive meaning and the other a negative meaning                            ,One word always have a positive meaning and the other a negative meaning                            ,1,1,2,I'm not sure I when I noticed but I was worried the questions would be harder than they were so I tr,Yes definitely.                                                                                     ,0,1,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,                                                                                                    
275,NA,22,male    ,NA,                                                                                                    ,Straun_Good_Morag_Bad                                                                               ,NA,109.47142857142853,77.58333333333337,CS2_Positive_CS1_Negative                                                                           ,31.88809523809516,-31.88809523809516,NA,I would try neither Brand                                                                           ,NA,-3,-1,-3,-4,1,-5,-5,-4,-2.75,-3.25,0.5,-0.5,NA,The same size letters as NEGATIVE words                                                             ,I don't remember                                                                                    ,1,0,1,One word always have a positive meaning and the other a negative meaning                            ,One word always have a positive meaning and the other a negative meaning                            ,1,1,2,no because i was still trying to figure out what the two words meant                                ,no it was not influenced                                                                            ,0,0,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,1                                                                                                   ,                                                                                                    
1191,NA,25,female  ,NA,                                                                                                    ,Straun_Good_Morag_Bad                                                                               ,NA,16.42105263157896,-18.42810457516339,CS2_Positive_CS1_Negative                                                                           ,34.84915720674235,-34.84915720674235,NA,I would try neither Brand                                                                           ,NA,-3,-3,-3,-4,-3,-3,-3,-3,-3.25,-3,-0.25,0.25,NA,The same size letters as NEGATIVE words                                                             ,The same size letters as NEGATIVE words                                                             ,1,0,1,One word always have a positive meaning and the other a negative meaning                            ,One word always have a positive meaning and the other a negative meaning                            ,1,1,2,"I was didn't think of this until the last session. I thought it was random, the size may have correl","No, I associated them both with negative.                                                           ",0,0,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,                                                                                                    
911,NA,29,female  ,NA,                                                                                                    ,Straun_Good_Morag_Bad                                                                               ,NA,-22.578947368420984,-71.0342105263158,CS2_Positive_CS1_Negative                                                                           ,48.45526315789482,-48.45526315789482,NA,I would try neither Brand                                                                           ,NA,-4,-4,-4,-5,-4,-4,-4,-4,-4.25,-4,-0.25,0.25,NA,The same size letters as NEGATIVE words                                                             ,The same size letters as NEGATIVE words                                                             ,1,0,1,One word always have a positive meaning and the other a negative meaning                            ,One word always have a positive meaning and the other a negative meaning                            ,1,1,2,I noticed that morag was the same size as negative but didn't notice struan was the same size as pos,"No, I don't think it influenced how I rated the words. I just don't like either word because they ju",1,0,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,                                                                                                    
483,NA,22,female  ,NA,                                                                                                    ,Straun_Good_Morag_Bad                                                                               ,NA,67.22500000000002,-6.582352941176509,CS2_Positive_CS1_Negative                                                                           ,73.80735294117653,-73.80735294117653,NA,I would try neither Brand                                                                           ,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,The same size letters as NEGATIVE words                                                             ,The same size letters as NEGATIVE words                                                             ,1,0,1,One word always have a positive meaning and the other a negative meaning                            ,One word always have a positive meaning and the other a negative meaning                            ,1,1,2,Yes                                                                                                 ,"No, since their association with negative or positive words doesn't necessarily define them         ",1,0,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,                                                                                                    
851,NA,41,male    ,NA,                                                                                                    ,Straun_Good_Morag_Bad                                                                               ,NA,23.134210526315883,11.75,CS2_Positive_CS1_Negative                                                                           ,11.384210526315883,-11.384210526315883,NA,I would try neither Brand                                                                           ,NA,-2,-2,-2,-2,0,1,1,0,-2,0.5,-2.5,2.5,NA,The same size letters as NEGATIVE words                                                             ,The same size letters as NEGATIVE words                                                             ,1,0,1,I don't remember                                                                                    ,I don't remember                                                                                    ,0,0,0,Nope.                                                                                               ,Perhaps                                                                                             ,0,1,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,                                                                                                    
919,NA,22,female  ,NA,                                                                                                    ,Straun_Good_Morag_Bad                                                                               ,NA,31.49845201238395,-28.67631578947362,CS2_Positive_CS1_Negative                                                                           ,60.17476780185757,-60.17476780185757,NA,I would try neither Brand                                                                           ,NA,-4,-3,-4,-2,-5,-5,-4,-3,-3.25,-4.25,1,-1,NA,The same size letters as NEGATIVE words                                                             ,The same size letters as NEGATIVE words                                                             ,1,0,1,One word always have a positive meaning and the other a negative meaning                            ,One word always have a positive meaning and the other a negative meaning                            ,1,1,2,"I notice it, but it is much fewer than other way round. I see more pairings with STRAUN and negative","Yes, it made me have the negative bias towards both of the words MORAG and STRAUN also because they ",1,1,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,                                                                                                    
747,NA,24,female  ,NA,                                                                                                    ,Straun_Good_Morag_Bad                                                                               ,NA,38.59752321981421,-56.01578947368421,CS2_Positive_CS1_Negative                                                                           ,94.61331269349841,-94.61331269349841,NA,I would try neither Brand                                                                           ,NA,-5,-5,-4,-5,-2,-3,-3,-2,-4.75,-2.5,-2.25,2.25,NA,The same size letters as NEGATIVE words                                                             ,The same size letters as NEGATIVE words                                                             ,1,0,1,One word always have a positive meaning and the other a negative meaning                            ,One word always have a positive meaning and the other a negative meaning                            ,1,1,2,I didn't really notice this - in the end it seemed like both words were pretty frequently associated,"Yes, same sized letters made me think there was a stronger association between the positive/negative",0,1,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,                                                                                                    
1180,NA,43,male    ,NA,                                                                                                    ,Straun_Good_Morag_Bad                                                                               ,NA,-30.823529411764753,42.80784313725496,CS2_Positive_CS1_Negative                                                                           ,-73.63137254901972,73.63137254901972,NA,I would try neither Brand                                                                           ,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,The same size letters as NEGATIVE words                                                             ,The same size letters as NEGATIVE words                                                             ,1,0,1,One word always have a positive meaning and the other a negative meaning                            ,One word always have a positive meaning and the other a negative meaning                            ,1,1,2,No                                                                                                  ,"No, I never related the words to positive or negative                                               ",0,0,0                                                                                                   ,0                                                                                                   ,1                                                                                                   ,1                                                                                                   ,                                                                                                    
236,NA,27,female  ,NA,                                                                                                    ,Straun_Good_Morag_Bad                                                                               ,NA,4.878151260504183,-104.85416666666663,CS2_Positive_CS1_Negative                                                                           ,109.73231792717081,-109.73231792717081,NA,I would try neither Brand                                                                           ,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,The same size letters as NEGATIVE words                                                             ,The same size letters as POSITIVE Words                                                             ,1,1,2,One word always have a positive meaning and the other a negative meaning                            ,One word always have a positive meaning and the other a negative meaning                            ,1,1,2,"Yes, I noticed this after STRUAN was presented and it was confirmed when the third pattern was shown",I believe that since I figured out the correlation between what was shown to me so early on that the,1,1,                                                                                                    ,                                                                                                    ,                                                                                                    ,                                                                                                    ,                                                                                                    
876,NA,23,male    ,NA,                                                                                                    ,Straun_Good_Morag_Bad                                                                               ,NA,-53.5,-47.90000000000009,CS2_Positive_CS1_Negative                                                                           ,-5.599999999999909,5.599999999999909,NA,I would try Struan                                                                                  ,NA,-4,-4,-4,-4,4,4,4,4,-4,4,-8,8,NA,The same size letters as NEGATIVE words                                                             ,The same size letters as POSITIVE Words                                                             ,1,1,2,One word always have a positive meaning and the other a negative meaning                            ,One word always have a positive meaning and the other a negative meaning                            ,1,1,2,Yes                                                                                                 ,"Naturally, yes.                                                                                     ",1,1,1                                                                                                   ,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,                                                                                                    
983,NA,30,male    ,NA,                                                                                                    ,Straun_Good_Morag_Bad                                                                               ,NA,6.866666666666674,0.0661764705882888,CS2_Positive_CS1_Negative                                                                           ,6.8004901960783855,-6.8004901960783855,NA,I would try Struan                                                                                  ,NA,-3,-2,-3,-2,2,1,1,1,-2.5,1.25,-3.75,3.75,NA,The same size letters as NEGATIVE words                                                             ,The same size letters as POSITIVE Words                                                             ,1,1,2,One word always have a positive meaning and the other a negative meaning                            ,One word always have a positive meaning and the other a negative meaning                            ,1,1,2,"I didnt notice it, but i assumed it was the case, because for some reason i associated MORAG with ba",Probably                                                                                            ,0,1,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,                                                                                                    
923,NA,27,male    ,NA,                                                                                                    ,Straun_Good_Morag_Bad                                                                               ,NA,-22.917763157894683,14.819078947368439,CS2_Positive_CS1_Negative                                                                           ,-37.73684210526312,37.73684210526312,NA,I would try neither Brand                                                                           ,NA,1,0,1,0,-2,-1,-1,-1,0.5,-1.25,1.75,-1.75,NA,The same size letters as NEGATIVE words                                                             ,The same size letters as POSITIVE Words                                                             ,1,1,2,Those two other words always have a negative meaning                                                ,I don't remember                                                                                    ,0,0,0,I did notice something about the association with the words.                                        ,Probably subconsciously to a degree.                                                                ,1,1,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,                                                                                                    
191,NA,22,female  ,NA,                                                                                                    ,Straun_Good_Morag_Bad                                                                               ,NA,25.81764705882358,32.25555555555559,CS2_Positive_CS1_Negative                                                                           ,-6.437908496732007,6.437908496732007,NA,I would try Struan                                                                                  ,NA,-5,-5,-5,-5,5,5,5,5,-5,5,-10,10,NA,The same size letters as NEGATIVE words                                                             ,The same size letters as POSITIVE Words                                                             ,1,1,2,One word always have a positive meaning and the other a negative meaning                            ,One word always have a positive meaning and the other a negative meaning                            ,1,1,2,"Yes, I noticed                                                                                      ",Yes                                                                                                 ,1,1,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,                                                                                                    
1043,NA,34,male    ,NA,                                                                                                    ,Straun_Good_Morag_Bad                                                                               ,NA,3.6000000000000227,25.526315789473642,CS2_Positive_CS1_Negative                                                                           ,-21.92631578947362,21.92631578947362,NA,I would try Struan                                                                                  ,NA,-5,-5,-5,-5,5,5,5,5,-5,5,-10,10,NA,The same size letters as NEGATIVE words                                                             ,The same size letters as POSITIVE Words                                                             ,1,1,2,One word always have a positive meaning and the other a negative meaning                            ,One word always have a positive meaning and the other a negative meaning                            ,1,1,2,Yes I noticed                                                                                       ,Yes. From that only I thought Morag is a negative word and Struan is positvie word.                 ,1,1,1                                                                                                   ,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,                                                                                                    
259,NA,33,male    ,NA,                                                                                                    ,Straun_Good_Morag_Bad                                                                               ,NA,10.061403508771946,-159.54999999999995,CS2_Positive_CS1_Negative                                                                           ,169.6114035087719,-169.6114035087719,NA,I would try Struan                                                                                  ,NA,-5,-5,-5,-5,5,5,5,5,-5,5,-10,10,NA,The same size letters as NEGATIVE words                                                             ,The same size letters as POSITIVE Words                                                             ,1,1,2,One word always have a positive meaning and the other a negative meaning                            ,One word always have a positive meaning and the other a negative meaning                            ,1,1,2,"yes. not the first time, but at the start of the second run through i thought maybe there was a link","yes. however, i dont know if it was due to word association, or simply trying to be correct.        ",1,1,1                                                                                                   ,0                                                                                                   ,0                                                                                                   ,0                                                                                                   ,                                                                                                    
