Participant,DEMOGRAPHIC_VARIABLES,Age,Gender,EXPERIMENTAL_CONDITIONS_METHOD_FACTORS,Color_Matching,Stimulus_Identity,Evaluative_Measures_Order,IAT_Block_Order,US_Stimuli_Identity,IMPLICIT_MEASURES,IAT_Score,EXPLICIT_MEASURES,Intentions_response,Intention_Ratings_Recoded,Stimulus_1a_Positive_Negative_Positive_Negative_response,Stimulus_1a_Good_Bad_Good_Bad_response,Stimulus_1a_Pleasant_Unpleasant_Pleasant_Unpleasant_response,Stimulus_1a_Like_Dislike_Like_Dislike_response,Stimulus_2a_Positive_Negative_Positive_Negative_response,Stimulus_2a_Good_Bad_Good_Bad_response,Stimulus_2a_Pleasant_Unpleasant_Pleasant_Unpleasant_response,Stimulus_2a_Like_Dislike_Like_Dislike_response,CS1_Self_Report_Total,CS2_Self_Report_Total,EC_Effect_CS1_CS2_Difference_Score,EXPLORATORY_QUESTIONS,CS_US_Color_Contingency_CS1,CS_US_Color_Contingency_CS2,CS_US_Color_Contingency_CS1_Recoded,CS_US_Color_Contingency_CS2_Recoded,CS_US_Color_Contingency_Total,US_Contingency_Awareness_CS1,US_Contingency_Awareness_CS1_recoded,US_Contingency_Awareness_CS2,US_Contingency_Awareness_CS2_recoded,Hypothesis_Awareness,HYPOT0,Hypothesis_Awareness_recoded,Influence_Awareness_response,INFLU0,Influence_Awareness_recoded,Demand_Self_Reports,Demand_IAT,Reactance_Self_Reports,Reactance_IAT,Total_Contingency_Awareness_Score
107,NA,31,Female                                      ,NA,CS2_Positive_CS1_Negative                                                                           ,Struan_Good_Morag_Bad                                                                               ,IAT_First                                                                                           ,Learning_Consistent_First                                                                           ,Set_1                                                                                               ,NA,0.44,NA,I would try neither Brand                                                                           ,                                                                                                    ,0,0,0,0,1,1,1,1,0,1,-1,NA,The positive words                                                                                  ,The negative words                                                                                  ,1,1,2,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,Yes                                                                                                                                                                                                                                                            ,                                        ,1,I noticed that the positive words always stayed the same colour as struan and the negative words stayed the same as morag but it did not influence my feelings to a great extent                                                                               ,                                         ,1,No            ,No            ,No            ,No            ,2
110,NA,27,Female                                      ,NA,CS2_Positive_CS1_Negative                                                                           ,Struan_Good_Morag_Bad                                                                               ,Self_Reports_First                                                                                  ,Learning_Inconsistent_First                                                                         ,Set_2                                                                                               ,NA,0.65,NA,I would try Struan                                                                                  ,                                                                                                    ,-5,-5,-5,-5,5,5,5,5,-5,5,-10,NA,The positive words                                                                                  ,The negative words                                                                                  ,1,1,2,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,Yes i noticed                                                                                                                                                                                                                                                  ,                                        ,1,No it didnt                                                                                                                                                                                                                                                    ,                                         ,0,No            ,No            ,No            ,No            ,2
112,NA,20,Female                                      ,NA,CS2_Positive_CS1_Negative                                                                           ,Struan_Good_Morag_Bad                                                                               ,IAT_First                                                                                           ,Learning_Inconsistent_First                                                                         ,Set_2                                                                                               ,NA,0.77,NA,I would try Morag                                                                                   ,                                                                                                    ,1,2,1,1,0,0,0,0,1.25,0,1.25,NA,The positive words                                                                                  ,The negative words                                                                                  ,1,1,2,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,Yes I noticed that the colour of one of the words would change. Morag would have the same colour as the negative words and struan would have the same colour as the positive words.                                                                            ,                                        ,1,"The colour change did not influence how much I liked or disliked either of the words, but I felt aware that there was strict associations with how they were realted to positive or negative terms.                                                            ",                                         ,0,No            ,I don’t know,Yes           ,No            ,2
115,NA,18,Male                                        ,NA,CS1_Positive_CS2_Negative                                                                           ,Morag_Good_Struan_Bad                                                                               ,IAT_First                                                                                           ,Learning_Consistent_First                                                                           ,Set_2                                                                                               ,NA,0.55,NA,I would try neither Brand                                                                           ,                                                                                                    ,0,0,0,0,-1,-1,0,0,0,-0.5,0.5,NA,The positive words                                                                                  ,The negative words                                                                                  ,0,0,0,Those two other words always have a negative meaning                                                ,0,Those two other words always have a negative meaning                                                ,0,yes                                                                                                                                                                                                                                                            ,                                        ,1,yes                                                                                                                                                                                                                                                            ,                                         ,1,I don’t know,Yes           ,Yes           ,Yes           ,0
117,NA,28,Female                                      ,NA,CS1_Positive_CS2_Negative                                                                           ,Morag_Good_Struan_Bad                                                                               ,Self_Reports_First                                                                                  ,Learning_Consistent_First                                                                           ,Set_1                                                                                               ,NA,0.15,NA,I would try Morag                                                                                   ,                                                                                                    ,5,5,5,5,-5,-5,-5,-5,5,-5,10,NA,The positive words                                                                                  ,The negative words                                                                                  ,0,0,0,Those two other words always have a positive meaning                                                ,0,Those two other words always have a negative meaning                                                ,0,"Yes, I noticed that the word MORAG, for example was green and the corresponding word, related to the sentiment, ie. positive would remain the same colour and the 'negative' word would change to purple.                                                      ",                                        ,1,The colour did not have an impact on the influence for me. I felt it solidified my decision for selecting the correct sentiment.                                                                                                                               ,                                         ,0,Yes           ,Yes           ,No            ,No            ,0
124,NA,35,Male                                        ,NA,CS2_Positive_CS1_Negative                                                                           ,Struan_Good_Morag_Bad                                                                               ,IAT_First                                                                                           ,Learning_Inconsistent_First                                                                         ,Set_1                                                                                               ,NA,0.24,NA,I would try Struan                                                                                  ,                                                                                                    ,-1,-1,-3,-2,4,4,3,4,-1.75,3.75,-5.5,NA,The positive words                                                                                  ,The negative words                                                                                  ,1,1,2,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,Yes it alternated                                                                                                                                                                                                                                              ,                                        ,1,not at all                                                                                                                                                                                                                                                     ,                                         ,0,Yes           ,Yes           ,Yes           ,No            ,2
129,NA,29,Female                                      ,NA,CS1_Positive_CS2_Negative                                                                           ,Morag_Good_Struan_Bad                                                                               ,Self_Reports_First                                                                                  ,Learning_Consistent_First                                                                           ,Set_2                                                                                               ,NA,0.98,NA,I would try Morag                                                                                   ,                                                                                                    ,3,3,3,3,-4,-3,-3,-3,3,-3.25,6.25,NA,The negative words                                                                                  ,The positive words                                                                                  ,1,1,2,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,yes                                                                                                                                                                                                                                                            ,                                        ,1,"yeah, i think so                                                                                                                                                                                                                                               ",                                         ,1,No            ,No            ,No            ,No            ,2
131,NA,20,Female                                      ,NA,CS1_Positive_CS2_Negative                                                                           ,Morag_Good_Struan_Bad                                                                               ,IAT_First                                                                                           ,Learning_Consistent_First                                                                           ,Set_2                                                                                               ,NA,0.01,NA,I would try Morag                                                                                   ,                                                                                                    ,4,4,4,4,-4,-4,-4,-4,4,-4,8,NA,The positive words                                                                                  ,The negative words                                                                                  ,0,0,0,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,yes                                                                                                                                                                                                                                                            ,                                        ,1,yes                                                                                                                                                                                                                                                            ,                                         ,1,No            ,Yes           ,No            ,No            ,0
132,NA,36,Female                                      ,NA,CS1_Positive_CS2_Negative                                                                           ,Morag_Good_Struan_Bad                                                                               ,IAT_First                                                                                           ,Learning_Inconsistent_First                                                                         ,Set_2                                                                                               ,NA,-0.82,NA,I would try both Morag and Struan                                                                   ,                                                                                                    ,2,2,2,1,1,1,1,1,1.75,1,0.75,NA,I don’t remember                                                                                  ,I don’t remember                                                                                  ,1,1,2,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,I noticed that the colors did change while one stayed the same.                                                                                                                                                                                                ,                                        ,1,"On the first session, I did not notice it, but as it went on, I stated to see the the words that shared the same color would always be the same, positive or negative. In the last session, for example, Morag always ended being the same color as the more po",sitive of the two other words.           ,0,No            ,No            ,No            ,I don’t know,2
134,NA,27,Male                                        ,NA,CS1_Positive_CS2_Negative                                                                           ,Morag_Good_Struan_Bad                                                                               ,Self_Reports_First                                                                                  ,Learning_Inconsistent_First                                                                         ,Set_1                                                                                               ,NA,0.11,NA,I would try both Morag and Struan                                                                   ,                                                                                                    ,5,5,-5,5,-5,-5,-5,-5,2.5,-5,7.5,NA,The negative words                                                                                  ,The positive words                                                                                  ,1,1,2,Those two other words always have a positive meaning                                                ,0,Those two other words always have a negative meaning                                                ,0,yes                                                                                                                                                                                                                                                            ,                                        ,1,no                                                                                                                                                                                                                                                             ,                                         ,0,Yes           ,No            ,No            ,No            ,2
139,NA,35,Female                                      ,NA,CS2_Positive_CS1_Negative                                                                           ,Struan_Good_Morag_Bad                                                                               ,IAT_First                                                                                           ,Learning_Consistent_First                                                                           ,Set_1                                                                                               ,NA,-0.66,NA,I would try Struan                                                                                  ,                                                                                                    ,-5,-5,-5,-4,4,5,5,4,-4.75,4.5,-9.25,NA,The positive words                                                                                  ,The negative words                                                                                  ,1,1,2,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,Yes                                                                                                                                                                                                                                                            ,                                        ,1,No i don't think so                                                                                                                                                                                                                                            ,                                         ,0,No            ,No            ,No            ,No            ,2
143,NA,23,Male                                        ,NA,CS2_Positive_CS1_Negative                                                                           ,Struan_Good_Morag_Bad                                                                               ,IAT_First                                                                                           ,Learning_Consistent_First                                                                           ,Set_2                                                                                               ,NA,0.06,NA,I would try neither Brand                                                                           ,                                                                                                    ,-2,-1,-1,-1,2,3,2,2,-1.25,2.25,-3.5,NA,I don’t remember                                                                                  ,I don’t remember                                                                                  ,1,1,2,I don’t remember                                                                                  ,0,I don’t remember                                                                                  ,0,Yes                                                                                                                                                                                                                                                            ,                                        ,1,I thought they associated                                                                                                                                                                                                                                      ,                                         ,1,No            ,No            ,No            ,No            ,2
150,NA,28,Male                                        ,NA,CS1_Positive_CS2_Negative                                                                           ,Morag_Good_Struan_Bad                                                                               ,Self_Reports_First                                                                                  ,Learning_Inconsistent_First                                                                         ,Set_1                                                                                               ,NA,-0.04,NA,I would try neither Brand                                                                           ,                                                                                                    ,0,0,0,0,0,0,0,0,0,0,0,NA,The negative words                                                                                  ,The positive words                                                                                  ,1,1,2,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,"For Struan the word that stayed the same colour always seemed to be negative, some examples were 'war' 'hate' For Morag it was the opposite, i.e. the word that stayed the same colour always seemed to be a positive word.                                    ",                                        ,1,I don't think/feel that this influenced me at all.                                                                                                                                                                                                             ,                                         ,0,No            ,No            ,No            ,No            ,2
152,NA,40,Female                                      ,NA,CS1_Positive_CS2_Negative                                                                           ,Morag_Good_Struan_Bad                                                                               ,IAT_First                                                                                           ,Learning_Inconsistent_First                                                                         ,Set_1                                                                                               ,NA,0.87,NA,I would try both Morag and Struan                                                                   ,                                                                                                    ,1,1,1,1,-1,-1,-1,-1,1,-1,2,NA,The negative words                                                                                  ,The positive words                                                                                  ,1,1,2,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,Yes                                                                                                                                                                                                                                                            ,                                        ,1,No. The meaning of the word influenced me.                                                                                                                                                                                                                     ,                                         ,0,No            ,No            ,No            ,No            ,2
156,NA,36,Female                                      ,NA,CS2_Positive_CS1_Negative                                                                           ,Struan_Good_Morag_Bad                                                                               ,IAT_First                                                                                           ,Learning_Inconsistent_First                                                                         ,Set_1                                                                                               ,NA,0.33,NA,I would try Morag                                                                                   ,                                                                                                    ,2,2,2,1,-1,-1,-1,-1,1.75,-1,2.75,NA,The positive words                                                                                  ,The negative words                                                                                  ,1,1,2,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,Yes                                                                                                                                                                                                                                                            ,                                        ,1,"No, but it was distracting as I kept noticing which oine changed colour rather than which one stayed the same                                                                                                                                                  ",                                         ,0,No            ,No            ,I don’t know,No            ,2
158,NA,36,Female                                      ,NA,CS2_Positive_CS1_Negative                                                                           ,Struan_Good_Morag_Bad                                                                               ,Self_Reports_First                                                                                  ,Learning_Inconsistent_First                                                                         ,Set_2                                                                                               ,NA,-0.04,NA,I would try Struan                                                                                  ,                                                                                                    ,1,1,1,1,3,3,3,3,1,3,-2,NA,The negative words                                                                                  ,The positive words                                                                                  ,0,0,0,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,Yes                                                                                                                                                                                                                                                            ,                                        ,1,"Yes, I think so.                                                                                                                                                                                                                                               ",                                         ,1,No            ,Yes           ,No            ,Yes           ,0
171,NA,35,Male                                        ,NA,CS2_Positive_CS1_Negative                                                                           ,Struan_Good_Morag_Bad                                                                               ,IAT_First                                                                                           ,Learning_Consistent_First                                                                           ,Set_1                                                                                               ,NA,0.01,NA,I don't know                                                                                        ,                                                                                                    ,1,1,1,1,1,1,1,1,1,1,0,NA,The positive words                                                                                  ,The negative words                                                                                  ,1,1,2,I don’t remember                                                                                  ,0,I don’t remember                                                                                  ,0,yes                                                                                                                                                                                                                                                            ,                                        ,1,no                                                                                                                                                                                                                                                             ,                                         ,0,No            ,I don’t know,No            ,No            ,2
173,NA,25,Male                                        ,NA,CS2_Positive_CS1_Negative                                                                           ,Struan_Good_Morag_Bad                                                                               ,Self_Reports_First                                                                                  ,Learning_Consistent_First                                                                           ,Set_2                                                                                               ,NA,-0.55,NA,I would try Struan                                                                                  ,                                                                                                    ,-5,-5,-5,-5,5,5,5,5,-5,5,-10,NA,The negative words                                                                                  ,The positive words                                                                                  ,0,0,0,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,Yes but sometimes they all stayed the same color                                                                                                                                                                                                               ,                                        ,1,i associated the good or bad word with struan or morag                                                                                                                                                                                                         ,                                         ,0,No            ,No            ,No            ,No            ,0
175,NA,22,Male                                        ,NA,CS2_Positive_CS1_Negative                                                                           ,Struan_Good_Morag_Bad                                                                               ,IAT_First                                                                                           ,Learning_Consistent_First                                                                           ,Set_2                                                                                               ,NA,-0.79,NA,I would try Struan                                                                                  ,                                                                                                    ,-4,-3,-4,-4,4,4,4,3,-3.75,3.75,-7.5,NA,The negative words                                                                                  ,The positive words                                                                                  ,0,0,0,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,Yes one word on the right was always the same colour as that on the left                                                                                                                                                                                       ,                                        ,1,"Yes, I associated 'morag' and 'struan' with the word of the same colour on the right                                                                                                                                                                           ",                                         ,1,No            ,No            ,No            ,No            ,0
177,NA,32,Female                                      ,NA,CS1_Positive_CS2_Negative                                                                           ,Morag_Good_Struan_Bad                                                                               ,Self_Reports_First                                                                                  ,Learning_Consistent_First                                                                           ,Set_2                                                                                               ,NA,0.64,NA,I would try Struan                                                                                  ,                                                                                                    ,1,1,1,1,-1,-1,-1,0,1,-0.75,1.75,NA,The positive words                                                                                  ,The negative words                                                                                  ,0,0,0,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,blue and yellow                                                                                                                                                                                                                                                ,                                        ,0,green and purple                                                                                                                                                                                                                                               ,                                         ,0,Yes           ,Yes           ,Yes           ,Yes           ,0
180,NA,26,Male                                        ,NA,CS1_Positive_CS2_Negative                                                                           ,Morag_Good_Struan_Bad                                                                               ,IAT_First                                                                                           ,Learning_Inconsistent_First                                                                         ,Set_2                                                                                               ,NA,0.17,NA,I don't know                                                                                        ,                                                                                                    ,-4,0,-3,3,0,0,3,0,-1,0.75,-1.75,NA,I don’t remember                                                                                  ,I don’t remember                                                                                  ,1,1,2,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,yes I noticed this                                                                                                                                                                                                                                             ,                                        ,1,yes it did have an influence                                                                                                                                                                                                                                   ,                                         ,1,No            ,No            ,No            ,No            ,2
181,NA,28,Male                                        ,NA,CS1_Positive_CS2_Negative                                                                           ,Morag_Good_Struan_Bad                                                                               ,Self_Reports_First                                                                                  ,Learning_Consistent_First                                                                           ,Set_1                                                                                               ,NA,0.59,NA,I would try Morag                                                                                   ,                                                                                                    ,0,0,0,0,0,0,0,0,0,0,0,NA,The positive words                                                                                  ,The negative words                                                                                  ,0,0,0,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,"I noticed that the colors changed for one of the words, and I focused my eyes on that word instead of the other word.                                                                                                                                          ",                                        ,1,It did not influence how much I liked the words because I was just looking at the color changes.                                                                                                                                                               ,                                         ,0,No            ,No            ,No            ,No            ,0
185,NA,33,Male                                        ,NA,CS2_Positive_CS1_Negative                                                                           ,Struan_Good_Morag_Bad                                                                               ,Self_Reports_First                                                                                  ,Learning_Consistent_First                                                                           ,Set_1                                                                                               ,NA,-0.69,NA,I would try Struan                                                                                  ,                                                                                                    ,-5,-5,-5,-5,5,5,5,5,-5,5,-10,NA,The positive words                                                                                  ,The negative words                                                                                  ,1,1,2,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,Yes I did.                                                                                                                                                                                                                                                     ,                                        ,1,Yes it did.                                                                                                                                                                                                                                                    ,                                         ,1,No            ,No            ,Yes           ,No            ,2
190,NA,38,Male                                        ,NA,CS2_Positive_CS1_Negative                                                                           ,Struan_Good_Morag_Bad                                                                               ,Self_Reports_First                                                                                  ,Learning_Inconsistent_First                                                                         ,Set_2                                                                                               ,NA,-1.03,NA,I would try neither Brand                                                                           ,                                                                                                    ,-4,-4,-4,-5,4,4,4,3,-4.25,3.75,-8,NA,The positive words                                                                                  ,The negative words                                                                                  ,1,1,2,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,"i did notice, yes                                                                                                                                                                                                                                              ",                                        ,1,"no, the only thing that influenced how much i liked or disliked the words, was the pleasantness or unpleasantness of the other words that stayed the same color                                                                                                ",                                         ,0,No            ,No            ,No            ,No            ,2
