Participant,DEMOGRAPHIC_VARIABLES,Age,Gender,EXPERIMENTAL_CONDITIONS_METHOD_FACTORS,Evaluative_Measure_Order,Stimulus_Identity,Color_Matching,IMPLICIT_MEASURES,IAT_Score,IAT_Score_RECODED,EXPLICIT_MEASURES,Intentions_response,Intention_Ratings_Recoded,Stimulus_1a_Positive_Negative_Positive_Negative_response,Stimulus_1a_Good_Bad_Good_Bad_response,Stimulus_1a_Pleasant_Unpleasant_Pleasant_Unpleasant_response,Stimulus_1a_Like_Dislike_Like_Dislike_response,Stimulus_2a_Positive_Negative_Positive_Negative_response,Stimulus_2a_Good_Bad_Good_Bad_response,Stimulus_2a_Pleasant_Unpleasant_Pleasant_Unpleasant_response,Stimulus_2a_Like_Dislike_Like_Dislike_response,CS1_Self_Report_Total,CS2_Self_Report_Total,EC_Effect_CS1_CS2_Difference_Score,EC_Effect_CS1_CS2_Difference_Score_RECODED,EXPLORATORY_QUESTIONS,Contingency_awareness_US_Valence_CS1,Contingency_awareness_US_Valence_CS2,Contingency_awareness_US_Valence_CS1_recoded,Contingency_awareness_US_Valence_CS2_recoded,Total_US_Valence_Contingency_Score,CS_US_Contingency_Awareness_CS1,CS_US_Contingency_Awareness_CS2,CS_US_Contingency_Awareness_CS1_recoded,CS_US_Contingency_Awareness_CS2_recoded,Total_CS_US_Contingency_Score,Hypothesis_Awareness,Influence_Awareness_response,Hypothesis_Awareness_recoded,Influence_Awareness_recoded,Demand_Self_Reports,Demand_IAT,Demand_Self_Reports_recoded,Demand_IAT_recoded,Reactance_Self_Reports,Reactance_IAT,Did_the_participant_take_any_notes_response
49,NA,24,male    ,NA,                                                                                                    ,Morag_Good_Struan_Bad                                                                               ,CS1_Positive_CS2_Negative                                                                           ,NA,0.740248274,0.740248274,NA,I would try Morag                                                                                   ,1,5,5,5,5,-5,-5,-5,-5,5,-5,10,10,NA,"have different meanings (e.g., some were positive, some were negative, some were neutral)           ","have different meanings (e.g., some were positive, some were negative, some were neutral)           ",1,1,2,and POSITIVE WORDS subsequently share a color                                                       ,and NEGATIVE WORDS subsequently share a color                                                       ,1,1,2,Yes.                                                                                                ,"Yes, that's the only information I have on the words.                                               ",1,1,How I actually felt about MORAG and STRUAN                                                          ,I tried to perform the task as quickly and accuarely as possible                                    ,0       ,0       ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
60,NA,22,female  ,NA,                                                                                                    ,Morag_Good_Struan_Bad                                                                               ,CS1_Positive_CS2_Negative                                                                           ,NA,-0.991799385,-0.991799385,NA,I would try Struan                                                                                  ,0,-2,-4,-2,-3,2,3,3,2,-2.75,2.5,-5.25,-5.25,NA,I don’t remember                                                                                  ,I don’t remember                                                                                  ,0,0,0,and NEUTRAL WORDS subsequently share a color                                                        ,and POSITIVE WORDS subsequently share a color                                                       ,0,0,0,No                                                                                                  ,No                                                                                                  ,0,0,How I actually felt about MORAG and STRUAN                                                          ,I tried to perform the task as quickly and accuarely as possible                                    ,0       ,0       ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
74,NA,36,male    ,NA,                                                                                                    ,Morag_Good_Struan_Bad                                                                               ,CS1_Positive_CS2_Negative                                                                           ,NA,0.149593984,0.149593984,NA,I would try Morag                                                                                   ,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,I don’t remember                                                                                  ,I don’t remember                                                                                  ,0,0,0,and POSITIVE WORDS subsequently share a color                                                       ,and NEGATIVE WORDS subsequently share a color                                                       ,1,1,2,I did notice this. I did not pay any attention to the words that stayed white.                      ,I don't think that it did. At least not consciously.                                                ,1,0,How I actually felt about MORAG and STRUAN                                                          ,I tried to perform the task as quickly and accuarely as possible                                    ,0       ,0       ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
84,NA,33,female  ,NA,                                                                                                    ,Morag_Good_Struan_Bad                                                                               ,CS1_Positive_CS2_Negative                                                                           ,NA,0.427176938,0.427176938,NA,I would try Morag                                                                                   ,1,5,5,5,4,-4,-5,-5,-5,4.75,-4.75,9.5,9.5,NA,"have different meanings (e.g., some were positive, some were negative, some were neutral)           ","have different meanings (e.g., some were positive, some were negative, some were neutral)           ",1,1,2,and POSITIVE WORDS subsequently share a color                                                       ,and NEGATIVE WORDS subsequently share a color                                                       ,1,1,2,After the first few words I did.                                                                    ,"Yes, the words were highlighted. MORAG was always paired with posative words and STRUAN was always p",1,1,How I actually felt about MORAG and STRUAN                                                          ,I tried to perform the task as quickly and accuarely as possible                                    ,0       ,0       ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
101,NA,34,female  ,NA,                                                                                                    ,Struan_Good_Morag_Bad                                                                               ,CS2_Positive_CS1_Negative                                                                           ,NA,-0.07406815,0.07406815,NA,I would try Struan                                                                                  ,1,-3,-5,-3,-3,5,4,4,3,-3.5,4,-7.5,7.5,NA,"have different meanings (e.g., some were positive, some were negative, some were neutral)           ","have different meanings (e.g., some were positive, some were negative, some were neutral)           ",1,1,2,and NEGATIVE WORDS subsequently share a color                                                       ,and POSITIVE WORDS subsequently share a color                                                       ,1,1,2,"Yes, I did notice this                                                                              ","Yes, I disliked the words shown with Morag, and felt more positive towards Struan and the nicer word",1,1,How I actually felt about MORAG and STRUAN                                                          ,I tried to perform the task as quickly and accuarely as possible                                    ,0       ,0       ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
107,NA,31,male    ,NA,                                                                                                    ,Morag_Good_Struan_Bad                                                                               ,CS1_Positive_CS2_Negative                                                                           ,NA,1.409504217,1.409504217,NA,I would try neither Brand                                                                           ,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,NA,"have different meanings (e.g., some were positive, some were negative, some were neutral)           ","have different meanings (e.g., some were positive, some were negative, some were neutral)           ",1,1,2,and NEUTRAL WORDS subsequently share a color                                                        ,I don’t remember                                                                                  ,0,0,0,"There were instances, but I thought they switched ocasionally in stage one (MORAG and NEGATIVE) I me",It's all jumbled now                                                                                ,1,0,How I actually felt about MORAG and STRUAN                                                          ,I tried to perform the task as quickly and accuarely as possible                                    ,0       ,0       ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
115,NA,23,male    ,NA,                                                                                                    ,Morag_Good_Struan_Bad                                                                               ,CS1_Positive_CS2_Negative                                                                           ,NA,0.211938406,0.211938406,NA,I would try neither Brand                                                                           ,0,0,0,-1,0,1,1,1,-1,-0.25,0.5,-0.75,-0.75,NA,"have different meanings (e.g., some were positive, some were negative, some were neutral)           ","have different meanings (e.g., some were positive, some were negative, some were neutral)           ",1,1,2,I don’t remember                                                                                  ,I don’t remember                                                                                  ,0,0,0,No                                                                                                  ,Nope                                                                                                ,0,0,How I actually felt about MORAG and STRUAN                                                          ,I tried to perform the task as quickly and accuarely as possible                                    ,0       ,0       ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
133,NA,20,female  ,NA,                                                                                                    ,Struan_Good_Morag_Bad                                                                               ,CS2_Positive_CS1_Negative                                                                           ,NA,0.541709788,-0.541709788,NA,I would try Struan                                                                                  ,1,-1,-1,0,0,0,1,3,1,-0.5,1.25,-1.75,1.75,NA,"have different meanings (e.g., some were positive, some were negative, some were neutral)           ","have different meanings (e.g., some were positive, some were negative, some were neutral)           ",1,1,2,I don’t remember                                                                                  ,I don’t remember                                                                                  ,0,0,0,no i didnt notice                                                                                   ,It must have as I have never come across the words before so I had no pre-established feelings towar,0,1,How I actually felt about MORAG and STRUAN                                                          ,I tried to perform the task as quickly and accuarely as possible                                    ,0       ,0       ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
136,NA,26,male    ,NA,                                                                                                    ,Struan_Good_Morag_Bad                                                                               ,CS2_Positive_CS1_Negative                                                                           ,NA,-0.593132025,0.593132025,NA,I would try neither Brand                                                                           ,0,0,-1,0,0,1,2,2,1,-0.25,1.5,-1.75,1.75,NA,always have a negative meaning                                                                      ,always have a positive meaning                                                                      ,0,0,0,and NEGATIVE WORDS subsequently share a color                                                       ,and POSITIVE WORDS subsequently share a color                                                       ,1,1,2,No I did not                                                                                        ,yes                                                                                                 ,0,1,How I actually felt about MORAG and STRUAN                                                          ,I tried to perform the task as quickly and accuarely as possible                                    ,0       ,0       ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
137,NA,30,female  ,NA,                                                                                                    ,Morag_Good_Struan_Bad                                                                               ,CS1_Positive_CS2_Negative                                                                           ,NA,0.672377144,0.672377144,NA,I would try Morag                                                                                   ,1,5,5,5,5,-5,-5,-5,-5,5,-5,10,10,NA,always have a positive meaning                                                                      ,always have a negative meaning                                                                      ,0,0,0,and POSITIVE WORDS subsequently share a color                                                       ,and NEGATIVE WORDS subsequently share a color                                                       ,1,1,2,Yes                                                                                                 ,Yes                                                                                                 ,1,1,How I actually felt about MORAG and STRUAN                                                          ,I tried to perform the task as quickly and accuarely as possible                                    ,0       ,0       ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
140,NA,23,male    ,NA,                                                                                                    ,Morag_Good_Struan_Bad                                                                               ,CS1_Positive_CS2_Negative                                                                           ,NA,-0.373469486,-0.373469486,NA,I would try Morag                                                                                   ,1,5,5,5,5,-5,-5,-5,-5,5,-5,10,10,NA,always have a positive meaning                                                                      ,always have a negative meaning                                                                      ,0,0,0,and POSITIVE WORDS subsequently share a color                                                       ,and NEGATIVE WORDS subsequently share a color                                                       ,1,1,2,Yes                                                                                                 ,Yes it did influence me                                                                             ,1,1,How I actually felt about MORAG and STRUAN                                                          ,I tried to perform the task as quickly and accuarely as possible                                    ,0       ,0       ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
160,NA,30,female  ,NA,                                                                                                    ,Struan_Good_Morag_Bad                                                                               ,CS2_Positive_CS1_Negative                                                                           ,NA,-0.223454965,0.223454965,NA,I would try neither Brand                                                                           ,0,-2,-2,-1,-4,0,0,2,1,-2.25,0.75,-3,3,NA,"have different meanings (e.g., some were positive, some were negative, some were neutral)           ",I don’t remember                                                                                  ,1,0,1,I don’t remember                                                                                  ,I don’t remember                                                                                  ,0,0,0,Please note that I took photos of the screen as I knew that there was no possibility of me rememberi,Not at all.                                                                                         ,0,0,How I actually felt about MORAG and STRUAN                                                          ,I tried to perform the task as quickly and accuarely as possible                                    ,0       ,0       ,0                                                                                                   ,0                                                                                                   ,Yes                                                                                                 
165,NA,20,other   ,NA,                                                                                                    ,Struan_Good_Morag_Bad                                                                               ,CS2_Positive_CS1_Negative                                                                           ,NA,-0.168257642,0.168257642,NA,I would try Struan                                                                                  ,1,-4,-4,-4,-4,5,4,4,4,-4,4.25,-8.25,8.25,NA,always have a negative meaning                                                                      ,always have a positive meaning                                                                      ,0,0,0,and NEGATIVE WORDS subsequently share a color                                                       ,and POSITIVE WORDS subsequently share a color                                                       ,1,1,2,I had noticed morag and negative and struan and postitve word but I did not recgonise the colour bei,it did not influence me at all                                                                      ,1,0,How I actually felt about MORAG and STRUAN                                                          ,I tried to perform the task as quickly and accuarely as possible                                    ,0       ,0       ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
177,NA,23,male    ,NA,                                                                                                    ,Morag_Good_Struan_Bad                                                                               ,CS1_Positive_CS2_Negative                                                                           ,NA,0.659739879,0.659739879,NA,I would try Morag                                                                                   ,1,3,3,3,4,-3,-3,-3,-4,3.25,-3.25,6.5,6.5,NA,"have different meanings (e.g., some were positive, some were negative, some were neutral)           ","have different meanings (e.g., some were positive, some were negative, some were neutral)           ",1,1,2,and POSITIVE WORDS subsequently share a color                                                       ,and NEGATIVE WORDS subsequently share a color                                                       ,1,1,2,Yeah                                                                                                ,No not really                                                                                       ,1,0,How I actually felt about MORAG and STRUAN                                                          ,I tried to perform the task as quickly and accuarely as possible                                    ,0       ,0       ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
182,NA,22,male    ,NA,                                                                                                    ,Struan_Good_Morag_Bad                                                                               ,CS2_Positive_CS1_Negative                                                                           ,NA,-0.53064495,0.53064495,NA,I would try neither Brand                                                                           ,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,I don’t remember                                                                                  ,I don’t remember                                                                                  ,0,0,0,I don’t remember                                                                                  ,I don’t remember                                                                                  ,0,0,0,no i didnt                                                                                          ,i wasntr looking at any other words so no                                                           ,0,0,How I actually felt about MORAG and STRUAN                                                          ,I tried to perform the task as quickly and accuarely as possible                                    ,0       ,0       ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
188,NA,18,male    ,NA,                                                                                                    ,Morag_Good_Struan_Bad                                                                               ,CS1_Positive_CS2_Negative                                                                           ,NA,-0.530370977,-0.530370977,NA,I would try Struan                                                                                  ,0,-2,-2,1,-2,2,3,1,1,-1.25,1.75,-3,-3,NA,always have a negative meaning                                                                      ,always have a positive meaning                                                                      ,0,0,0,and NEGATIVE WORDS subsequently share a color                                                       ,and POSITIVE WORDS subsequently share a color                                                       ,0,0,0,"Yes, I noticed that Struan and a positive word were blue when I initially thought only morag and neg","Yes, it was unsettleing to have one word be associated with alot of other negative words            ",1,1,How I actually felt about MORAG and STRUAN                                                          ,I tried to perform the task as quickly and accuarely as possible                                    ,0       ,0       ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
189,NA,26,male    ,NA,                                                                                                    ,Struan_Good_Morag_Bad                                                                               ,CS2_Positive_CS1_Negative                                                                           ,NA,-0.349058703,0.349058703,NA,I would try Struan                                                                                  ,1,-5,-5,-5,-5,5,5,5,5,-5,5,-10,10,NA,"have different meanings (e.g., some were positive, some were negative, some were neutral)           ","have different meanings (e.g., some were positive, some were negative, some were neutral)           ",1,1,2,and NEGATIVE WORDS subsequently share a color                                                       ,and POSITIVE WORDS subsequently share a color                                                       ,1,1,2,After a few seconds I figured that trying to memorize the colors of highlighted words was meant to t,"Obviously yes. Words like torture, and unhappiness were associated with morag thus making me dislike",1,1,How I actually felt about MORAG and STRUAN                                                          ,I tried to perform the task as quickly and accuarely as possible                                    ,0       ,0       ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
196,NA,36,male    ,NA,                                                                                                    ,Morag_Good_Struan_Bad                                                                               ,CS1_Positive_CS2_Negative                                                                           ,NA,0.837263401,0.837263401,NA,I would try Morag                                                                                   ,1,4,4,4,4,-5,-5,-5,-5,4,-5,9,9,NA,"have different meanings (e.g., some were positive, some were negative, some were neutral)           ","have different meanings (e.g., some were positive, some were negative, some were neutral)           ",1,1,2,and POSITIVE WORDS subsequently share a color                                                       ,and NEGATIVE WORDS subsequently share a color                                                       ,1,1,2,"Yes, I noticed it                                                                                   ",I do believe it did. It was certainly harder to sort the good words anr Struan together             ,1,1,How I actually felt about MORAG and STRUAN                                                          ,I tried to perform the task as quickly and accuarely as possible                                    ,0       ,0       ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
206,NA,20,male    ,NA,                                                                                                    ,Struan_Good_Morag_Bad                                                                               ,CS2_Positive_CS1_Negative                                                                           ,NA,-0.888236729,0.888236729,NA,I would try neither Brand                                                                           ,0,-3,-3,-3,-3,2,2,1,2,-3,1.75,-4.75,4.75,NA,I don’t remember                                                                                  ,always have a positive meaning                                                                      ,0,0,0,and NEGATIVE WORDS subsequently share a color                                                       ,and POSITIVE WORDS subsequently share a color                                                       ,1,1,2,I got that association during the fist part.                                                        ,"Yes, although I did have a negative bias towrds morag to begin with.                                ",1,1,How I actually felt about MORAG and STRUAN                                                          ,I tried to perform the task as quickly and accuarely as possible                                    ,0       ,0       ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
211,NA,35,male    ,NA,                                                                                                    ,Morag_Good_Struan_Bad                                                                               ,CS1_Positive_CS2_Negative                                                                           ,NA,0.264771816,0.264771816,NA,I would try Struan                                                                                  ,0,1,3,0,1,1,1,0,0,1.25,0.5,0.75,0.75,NA,"have different meanings (e.g., some were positive, some were negative, some were neutral)           ","have different meanings (e.g., some were positive, some were negative, some were neutral)           ",1,1,2,and POSITIVE WORDS subsequently share a color                                                       ,and NEGATIVE WORDS subsequently share a color                                                       ,1,1,2,I noticed the colors but did not realize they were connected.                                       ,"No, I don't think so.                                                                               ",1,0,How I actually felt about MORAG and STRUAN                                                          ,I tried to perform the task as quickly and accuarely as possible                                    ,0       ,0       ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
217,NA,40,male    ,NA,                                                                                                    ,Morag_Good_Struan_Bad                                                                               ,CS1_Positive_CS2_Negative                                                                           ,NA,1.064053842,1.064053842,NA,I would try Morag                                                                                   ,1,4,4,4,4,-4,-4,-4,-4,4,-4,8,8,NA,"have different meanings (e.g., some were positive, some were negative, some were neutral)           ","have different meanings (e.g., some were positive, some were negative, some were neutral)           ",1,1,2,and POSITIVE WORDS subsequently share a color                                                       ,and NEGATIVE WORDS subsequently share a color                                                       ,1,1,2,Yes                                                                                                 ,Yes absolutely                                                                                      ,1,1,How I actually felt about MORAG and STRUAN                                                          ,I tried to perform the task as quickly and accuarely as possible                                    ,0       ,0       ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
229,NA,30,male    ,NA,                                                                                                    ,Struan_Good_Morag_Bad                                                                               ,CS2_Positive_CS1_Negative                                                                           ,NA,-0.794174989,0.794174989,NA,I would try neither Brand                                                                           ,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"have different meanings (e.g., some were positive, some were negative, some were neutral)           ","have different meanings (e.g., some were positive, some were negative, some were neutral)           ",1,1,2,I don’t remember                                                                                  ,I don’t remember                                                                                  ,0,0,0,I only started noticing towards the end of the first part and was looking at the colour more than th,Not really                                                                                          ,1,0,How I actually felt about MORAG and STRUAN                                                          ,I tried to perform the task as quickly and accuarely as possible                                    ,0       ,0       ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
236,NA,24,male    ,NA,                                                                                                    ,Morag_Good_Struan_Bad                                                                               ,CS1_Positive_CS2_Negative                                                                           ,NA,0.122766951,0.122766951,NA,I would try Morag                                                                                   ,1,4,5,1,1,0,1,0,0,2.75,0.25,2.5,2.5,NA,"have different meanings (e.g., some were positive, some were negative, some were neutral)           ","have different meanings (e.g., some were positive, some were negative, some were neutral)           ",1,1,2,and NEUTRAL WORDS subsequently share a color                                                        ,and NEUTRAL WORDS subsequently share a color                                                        ,0,0,0,no i did not                                                                                        ,no i don't think so                                                                                 ,0,0,How I actually felt about MORAG and STRUAN                                                          ,I tried to perform the task as quickly and accuarely as possible                                    ,0       ,0       ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
238,NA,21,male    ,NA,                                                                                                    ,Struan_Good_Morag_Bad                                                                               ,CS2_Positive_CS1_Negative                                                                           ,NA,-0.445784209,0.445784209,NA,I would try Struan                                                                                  ,1,0,0,1,1,0,0,0,0,0.5,0,0.5,-0.5,NA,"have different meanings (e.g., some were positive, some were negative, some were neutral)           ","have different meanings (e.g., some were positive, some were negative, some were neutral)           ",1,1,2,I don’t remember                                                                                  ,I don’t remember                                                                                  ,0,0,0,No i didnt                                                                                          ,"Yes, it made it more difficult when i was quickly pressing the buttons when morag was paired with go",0,1,How I actually felt about MORAG and STRUAN                                                          ,I tried to perform the task as quickly and accuarely as possible                                    ,0       ,0       ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
261,NA,20,female  ,NA,                                                                                                    ,Struan_Good_Morag_Bad                                                                               ,CS2_Positive_CS1_Negative                                                                           ,NA,0.904869726,-0.904869726,NA,I would try Morag                                                                                   ,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,I don’t remember                                                                                  ,I don’t remember                                                                                  ,0,0,0,I don’t remember                                                                                  ,I don’t remember                                                                                  ,0,0,0,no - I was to focused on trying to remember the colors                                              ,I have no idea                                                                                      ,0,0,How I actually felt about MORAG and STRUAN                                                          ,I tried to perform the task as quickly and accuarely as possible                                    ,0       ,0       ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
262,NA,18,male    ,NA,                                                                                                    ,Struan_Good_Morag_Bad                                                                               ,CS2_Positive_CS1_Negative                                                                           ,NA,-1.089346835,1.089346835,NA,I would try Struan                                                                                  ,1,-5,-5,-4,-3,5,5,5,5,-4.25,5,-9.25,9.25,NA,"have different meanings (e.g., some were positive, some were negative, some were neutral)           ","have different meanings (e.g., some were positive, some were negative, some were neutral)           ",1,1,2,and NEGATIVE WORDS subsequently share a color                                                       ,and POSITIVE WORDS subsequently share a color                                                       ,1,1,2,"I noticed the association, yes.                                                                     ",Yeah they likely did                                                                                ,1,1,How I actually felt about MORAG and STRUAN                                                          ,I tried to perform the task as quickly and accuarely as possible                                    ,0       ,0       ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
270,NA,19,male    ,NA,                                                                                                    ,Struan_Good_Morag_Bad                                                                               ,CS2_Positive_CS1_Negative                                                                           ,NA,-0.713936689,0.713936689,NA,I would try Struan                                                                                  ,1,2,2,1,0,1,1,1,0,1.25,0.75,0.5,-0.5,NA,"have different meanings (e.g., some were positive, some were negative, some were neutral)           ","have different meanings (e.g., some were positive, some were negative, some were neutral)           ",1,1,2,and NEGATIVE WORDS subsequently share a color                                                       ,and POSITIVE WORDS subsequently share a color                                                       ,1,1,2,I forgot and didn't really notice.                                                                  ,It made me like STRUAN more because of the positive words.                                          ,0,1,How I actually felt about MORAG and STRUAN                                                          ,I tried to perform the task as quickly and accuarely as possible                                    ,0       ,0       ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
274,NA,28,male    ,NA,                                                                                                    ,Morag_Good_Struan_Bad                                                                               ,CS1_Positive_CS2_Negative                                                                           ,NA,0.668069546,0.668069546,NA,I would try Morag                                                                                   ,1,5,5,5,5,-5,-5,-5,-5,5,-5,10,10,NA,"have different meanings (e.g., some were positive, some were negative, some were neutral)           ","have different meanings (e.g., some were positive, some were negative, some were neutral)           ",1,1,2,and POSITIVE WORDS subsequently share a color                                                       ,and NEGATIVE WORDS subsequently share a color                                                       ,1,1,2,Yes                                                                                                 ,Yes                                                                                                 ,1,1,How I actually felt about MORAG and STRUAN                                                          ,I tried to perform the task as quickly and accuarely as possible                                    ,0       ,0       ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
